horizon,reservation_wages,pr_ext,periods_ui_compensation,length_extension,true_pr_ext
2,0.9022512165250045,0.531578947368421,10,25,no
3,0.9056688893270513,0.531578947368421,10,25,no
4,0.9071348305235399,0.531578947368421,10,25,no
5,0.9078047274995613,0.531578947368421,10,25,no
6,0.908143064435505,0.531578947368421,10,25,no
7,0.9083382816893371,0.531578947368421,10,25,no
8,0.9084676741438971,0.531578947368421,10,25,no
9,0.9085635553910507,0.531578947368421,10,25,no
10,0.9086399296145368,0.531578947368421,10,25,no
0,0.8741609007734957,0.5526315789473684,10,25,no
1,0.8949253635834072,0.5526315789473684,10,25,no
2,0.902858807302592,0.5526315789473684,10,25,no
3,0.9059994878687974,0.5526315789473684,10,25,no
4,0.9073014602258462,0.5526315789473684,10,25,no
5,0.9078848692464156,0.5526315789473684,10,25,no
6,0.9081804081370217,0.5526315789473684,10,25,no
7,0.9083552907932715,0.5526315789473684,10,25,no
8,0.9084752896672434,0.5526315789473684,10,25,no
9,0.9085669199123834,0.5526315789473684,10,25,no
10,0.9086414002868881,0.5526315789473684,10,25,no
0,0.875070643890147,0.5736842105263158,10,25,no
1,0.8958351067000585,0.5736842105263158,10,25,no
2,0.9034137146739483,0.5736842105263158,10,25,no
3,0.9062890240576416,0.5736842105263158,10,25,no
4,0.9074410833371833,0.5736842105263158,10,25,no
5,0.9079490500204888,0.5736842105263158,10,25,no
6,0.9082089749786437,0.5736842105263158,10,25,no
7,0.9083677155362819,0.5736842105263158,10,25,no
8,0.9084806007612976,0.5736842105263158,10,25,no
9,0.9085691598373284,0.5736842105263158,10,25,no
10,0.908642334869777,0.5736842105263158,10,25,no
0,0.8759328455960709,0.5947368421052631,10,25,no
1,0.8966973084059823,0.5947368421052631,10,25,no
2,0.9039199449603286,0.5947368421052631,10,25,no
3,0.9065416919892967,0.5947368421052631,10,25,no
4,0.9075573762939809,0.5947368421052631,10,25,no
5,0.9080000188154775,0.5947368421052631,10,25,no
6,0.9082305938962703,0.5947368421052631,10,25,no
7,0.9083766733419302,0.5947368421052631,10,25,no
8,0.9084842479914068,0.5947368421052631,10,25,no
9,0.9085706248083669,0.5947368421052631,10,25,no
10,0.9086429169708765,0.5947368421052631,10,25,no
0,0.87675104141797,0.6157894736842104,10,25,no
1,0.8975155042278814,0.6157894736842104,10,25,no
2,0.904381119714606,0.6157894736842104,10,25,no
3,0.9067612817569881,0.6157894736842104,10,25,no
4,0.9076535836599404,0.6157894736842104,10,25,no
5,0.9080401168155161,0.6157894736842104,10,25,no
6,0.908246759647778,0.6157894736842104,10,25,no
7,0.9083830381441291,0.6157894736842104,10,25,no
8,0.9084867100329862,0.6157894736842104,10,25,no
9,0.9085715642404959,0.6157894736842104,10,25,no
10,0.9086432715478221,0.6157894736842104,10,25,no
0,0.8775284340964132,0.6368421052631579,10,25,no
1,0.8982928969063246,0.6368421052631579,10,25,no
2,0.9048005194464614,0.6368421052631579,10,25,no
3,0.9069512254116152,0.6368421052631579,10,25,no
4,0.9077325676398935,0.6368421052631579,10,25,no
5,0.9080713314155527,0.6368421052631579,10,25,no
6,0.9082586865163335,0.6368421052631579,10,25,no
7,0.9083874874881772,0.6368421052631579,10,25,no
8,0.9084883405291001,0.6368421052631579,10,25,no
9,0.9085721535754069,0.6368421052631579,10,25,no
10,0.9086434822428546,0.6368421052631579,10,25,no
0,0.8782679307371226,0.6578947368421053,10,25,no
1,0.8990323935470339,0.6578947368421053,10,25,no
2,0.9051811217153971,0.6578947368421053,10,25,no
3,0.9071146369944204,0.6578947368421053,10,25,no
4,0.9077968511873783,0.6578947368421053,10,25,no
5,0.908095343152458,0.6578947368421053,10,25,no
6,0.908267354121171,0.6578947368421053,10,25,no
7,0.9083905414803756,0.6578947368421053,10,25,no
8,0.9084893974171515,0.6578947368421053,10,25,no
9,0.9085725142967391,0.6578947368421053,10,25,no
10,0.9086436040134623,0.6578947368421053,10,25,no
0,0.8789721752484497,0.6789473684210526,10,25,no
1,0.8997366380583615,0.6789473684210526,10,25,no
2,0.9055256343875147,0.6789473684210526,10,25,no
3,0.9072543474811388,0.6789473684210526,10,25,no
4,0.9078486556148884,0.6789473684210526,10,25,no
5,0.9081135665611076,0.6789473684210526,10,25,no
6,0.9082735464903015,0.6789473684210526,10,25,no
7,0.9083925948976658,0.6789473684210526,10,25,no
8,0.9084900661203512,0.6789473684210526,10,25,no
9,0.9085727290496131,0.6789473684210526,10,25,no
10,0.9086436722244466,0.6789473684210526,10,25,no
0,0.8796435767234809,0.7,10,25,no
1,0.9004080395333925,0.7,10,25,no
2,0.9058365247320955,0.7,10,25,no
3,0.9073729353499529,0.7,10,25,no
4,0.9078899334780965,0.7,10,25,no
5,0.9081271858151976,0.7,10,25,no
6,0.9082778853707064,0.7,10,25,no
7,0.9083939435589552,0.7,10,25,no
8,0.9084904777565201,0.7,10,25,no
9,0.9085728529424646,0.7,10,25,no
10,0.908643709103109,0.7,10,25,no
